clause_type,preprocessed_text
confidentiality,"['execut', 'recogn', 'acknowledg', 'knowledg', 'busi', 'activ', 'plan', 'busi', 'activ', 'proprietari', 'inform', 'bank', 'exist', 'time', 'time', 'valuabl', 'special', 'uniqu', 'asset', 'busi', 'bank', 'execut', 'term', 'employ', 'disclos', 'knowledg', 'past', 'present', 'plan', 'consid', 'busi', 'activ', 'similar', 'proprietari', 'inform', 'bank', 'person', 'firm', 'corpor', 'entiti', 'reason', 'purpos', 'whatsoev', 'expressli', 'author', 'board', 'requir', 'law', 'notwithstand', 'forego', 'execut', 'disclos', 'knowledg', 'bank', 'financi', 'econom', 'principl', 'concept', 'idea', 'sole', 'exclus', 'deriv', 'busi', 'plan', 'activ', 'bank', 'execut', 'disclos', 'inform', 'busi', 'activ', 'bank', 'bank', 'regul', 'have', 'regulatori', 'jurisdict', 'activ', 'bank', 'pursuant', 'formal', 'regulatori', 'request', 'event', 'breach', 'threaten', 'breach', 'execut', 'provis', 'section', 'bank', 'entitl', 'injunct', 'restrain', 'execut', 'disclos', 'knowledg', 'past', 'present', 'plan', 'consid', 'busi', 'activ', 'bank', 'similar', 'proprietari', 'inform', 'render', 'servic', 'person', 'firm', 'corpor', 'entiti', 'knowledg', 'disclos', 'threaten', 'disclos', 'constru', 'prohibit', 'bank', 'pursu', 'remedi', 'avail', 'bank', 'breach', 'threaten', 'breach', 'includ', 'recoveri', 'damag', 'execut']"
confidentiality,"['subject', 'duti', 'advis', 'trust', 'subadvis', 'compli', 'applic', 'law', 'includ', 'demand', 'regulatori', 'tax', 'author', 'have', 'jurisdict', 'parti', 'hereto', 'shall', 'treat', 'confidenti', 'shall', 'disclos', 'inform', 'pertain', 'fund', 'action', 'subadvis', 'advis', 'fund', 'respect', 'thereof', 'extent']"
contribution,"['indemnif', 'provid', 'section', 'unavail', 'corpor', 'sell', 'holder', 'respect', 'loss', 'claim', 'damag', 'liabil', 'judgment', 'refer', 'indemnifi', 'parti', 'lieu', 'indemnifi', 'indemnifi', 'parti', 'shall', 'contribut', 'paid', 'payabl', 'indemnifi', 'parti', 'result', 'loss', 'claim', 'damag', 'liabil', 'judgment', 'proport', 'appropri', 'reflect', 'rel', 'fault', 'parti', 'connect', 'statement', 'omiss', 'alleg', 'statement', 'omiss', 'relev', 'equit', 'consider', 'rel', 'fault', 'parti', 'shall', 'determin', 'refer', 'thing', 'untru', 'alleg', 'untru', 'statement', 'materi', 'fact', 'omiss', 'alleg', 'omiss', 'state', 'materi', 'fact', 'relat', 'inform', 'suppli', 'parti', 'parti', 'rel', 'intent', 'knowledg', 'access', 'inform', 'opportun', 'correct', 'prevent', 'statement', 'omiss', 'corpor', 'sell', 'holder', 'agre', 'equit', 'contribut', 'pursuant', 'section', 'determin', 'pro', 'rata', 'alloc', 'method', 'alloc', 'account', 'equit', 'consider', 'refer', 'immedi', 'preced', 'sentenc', 'paid', 'payabl', 'indemnifi', 'parti', 'result', 'loss', 'claim', 'damag', 'liabil', 'judgment', 'refer', 'immedi', 'preced', 'sentenc', 'shall', 'deem', 'includ', 'subject', 'limit', 'set', 'forth', 'legal', 'expens', 'reason', 'incur', 'indemnifi', 'parti', 'connect', 'investig', 'defend', 'action', 'claim', 'notwithstand', 'provis', 'section', 'sell', 'holder', 'shall', 'requir', 'contribut', 'excess', 'total', 'price', 'restrict', 'stock', 'sell', 'holder', 'offer', 'public', 'exce', 'fee', 'sell', 'holder', 'requir', 'pai', 'reason', 'untru', 'alleg', 'untru', 'statement', 'omiss', 'alleg', 'omiss', 'person', 'guilti', 'fraudul', 'misrepresent', 'mean', 'section', 'secur', 'act', 'shall', 'entitl', 'contribut', 'person', 'guilti', 'fraudul', 'misrepresent']"
contribution,"['extent', 'indemnif', 'indemnifi', 'parti', 'requir', 'term', 'agreement', 'prohibit', 'limit', 'law', 'indemnifi', 'parti', 'lieu', 'indemnifi', 'indemnifi', 'parti', 'agre', 'contribut', 'respect', 'amount', 'liabl', 'section', 'paid', 'payabl', 'indemnifi', 'parti', 'result', 'claim', 'proport', 'appropri', 'reflect', 'rel', 'fault', 'indemnifi', 'parti', 'hand', 'indemnifi', 'person', 'indemnifi', 'parti', 'case', 'hand', 'respect', 'violat', 'give', 'rise', 'applic', 'claim', 'provid', 'contribut', 'shall', 'circumst', 'maker', 'liabl', 'indemnif', 'fault', 'standard', 'set', 'forth', 'section', 'person', 'guilti', 'fraudul', 'misrepresent', 'mean', 'section', 'secur', 'act', 'shall', 'entitl', 'contribut', 'seller', 'registr', 'secur', 'guilti', 'fraudul', 'misrepresent', 'iii', 'contribut', 'indemnif', 'oblig', 'agreement', 'seller', 'registr', 'secur', 'shall', 'limit', 'gross', 'proce', 'receiv', 'seller', 'sale', 'registr', 'secur', 'rel', 'fault', 'compani', 'purchas', 'shall', 'determin', 'refer', 'thing', 'untru', 'alleg', 'untru', 'statement', 'materi', 'fact', 'relat', 'inform', 'suppli', 'compani', 'purchas', 'parties’', 'rel', 'intent', 'knowledg', 'access', 'inform', 'opportun', 'correct', 'prevent', 'statement', 'omiss']"
indemnification-and-contribution,"['compani', 'shall', 'indemnifi', 'hold', 'harmless', 'underwrit', 'affili', 'respect', 'director', 'offic', 'member', 'employe', 'repres', 'agent', 'person', 'control', 'underwrit', 'mean', 'section', 'act', 'section', 'exchang', 'act', 'collect', '“underwrit', 'indemnifi', 'parti', '“underwrit', 'indemnifi', 'party”', 'loss', 'claim', 'damag', 'expens', 'liabil', 'whatsoev', 'action', 'investig', 'proceed', 'respect', 'thereof', 'joint', 'underwrit', 'indemnifi', 'parti', 'subject', 'act', 'insofar', 'loss', 'claim', 'damag', 'expens', 'liabil', 'action', 'investig', 'proceed', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'materi', 'fact', 'contain', 'preliminari', 'prospectu', 'registr', 'statement', 'prospectu', 'amend', 'supplement', 'thereto', 'document', 'incorpor', 'refer', '“road', 'show”', 'defin', 'rule', 'secur', 'act', 'offer', '“market', 'materials”', 'omiss', 'alleg', 'omiss', 'state', 'preliminari', 'prospectu', 'registr', 'statement', 'prospectu', 'amend', 'supplement', 'thereto', 'market', 'materi', 'materi', 'fact', 'requir', 'state', 'necessari', 'statement', 'mislead', 'iii', 'breach', 'represent', 'warranti', 'compani', 'contain', 'failur', 'compani', 'perform', 'oblig', 'hereund', 'pursuant', 'law', 'act', 'failur', 'act', 'alleg', 'act', 'failur', 'act', 'underwrit', 'connect', 'relat', 'manner', 'unit', 'offer', 'unit', 'contempl', 'includ', 'refer', 'loss', 'claim', 'damag', 'expens', 'liabil', 'action', 'investig', 'proceed', 'aris', 'base', 'matter', 'cover', 'subclaus', 'iii', 'section', 'provid', 'compani', 'shall', 'liabl', 'case', 'matter', 'cover', 'subclaus', 'extent', 'determin', 'final', 'judgment', 'court', 'compet', 'jurisdict', 'loss', 'claim', 'damag', 'expens', 'liabil', 'result', 'directli', 'act', 'failur', 'act', 'undertaken', 'omit', 'taken', 'underwrit', 'gross', 'neglig', 'will', 'misconduct', 'shall', 'reimburs', 'underwrit']"
confidentiality,"['confidenti', 'proprietari', 'inform', 'materi', 'respect', 'trade', 'secret', 'compani', 'valuabl', 'asset', 'includ', 'limit', 'custom', 'vendor', 'list', 'databas', 'engin', 'program', 'framework', 'model', 'market', 'program', 'sale', 'financi', 'market', 'train', 'technic', 'inform', 'inform', 'commun', 'oral', 'electron', 'write', 'tangibl', 'form', 'concern', 'compani', 'creat', 'develop', 'acquir', 'maintain', 'product', 'market', 'plan', 'target', 'potenti', 'custom', 'oper', 'retail', 'busi', 'compani', 'invest', 'continu', 'invest', 'consider', 'amount', 'time', 'monei', 'process', 'technolog', 'know', 'obtain', 'develop', 'goodwil', 'custom', 'extern', 'relationship', 'data', 'system', 'data', 'base', 'inform', 'describ', 'hereinaft', 'collect', 'refer', 'confidenti', 'inform', 'misappropri', 'unauthor', 'disclosur', 'confidenti', 'inform', 'form', 'irrepar', 'harm', 'compani', 'execut', 'shall', 'hold', 'fiduciari', 'capac', 'benefit', 'compani', 'confidenti', 'inform', 'relat', 'compani', 'busi', 'shall', 'obtain', 'execut', 'execut', 'employ', 'compani', 'shall', 'public', 'knowledg', 'act', 'execut', 'repres', 'execut', 'violat', 'agreement', 'termin', 'execut', 'employ', 'compani', 'execut', 'shall', 'prior', 'written', 'consent', 'compani', 'requir', 'law', 'legal', 'process', 'commun', 'divulg', 'us', 'inform', 'knowledg', 'data', 'compani', 'design']"
confidentiality,"['servic', 'acknowledg', 'confidenti', 'agreement', 'releas', 'republish', 'content', 'consent', 'loss', 'mitig', 'advisor', 'extent', 'requir', 'law', 'regul', 'court', 'order', 'loss', 'mitig', 'advisor', 'agre', 'inform', 'suppli', 'behalf', 'servic', 'agreement', 'properti', 'servic', 'loss', 'mitig', 'advisor', 'shall', 'strictest', 'confid', 'inform', 'relat', 'agreement', 'includ', 'limit', 'individu', 'account', 'inform', 'inform', 'suppli', 'behalf', 'servic', 'pursuant', 'section', 'inform', 'acquir', 'connect', 'result', 'agreement', 'term', 'agreement', 'time', 'prior', 'written', 'consent', 'servic', 'loss', 'mitig', 'advisor', 'shall', 'publish', 'commun', 'divulg', 'disclos', 'us', 'inform', 'termin', 'expir', 'agreement', 'loss', 'mitig', 'advisor', 'shall', 'deliv', 'record', 'data', 'inform', 'document', 'copi', 'thereof', 'suppli', 'behalf', 'servic', 'pursuant', 'section', 'servic', 'shall', 'remain', 'properti', 'servic']"
indemnification-by-the-company,"['compani', 'shall', 'notwithstand', 'termin', 'agreement', 'indemnifi', 'hold', 'harmless', 'holder', 'offic', 'director', 'member', 'partner', 'agent', 'broker', 'includ', 'broker', 'offer', 'sell', 'registr', 'secur', 'princip', 'result', 'pledg', 'failur', 'perform', 'margin', 'common', 'stock', 'invest', 'advisor', 'employe', 'person', 'function', 'equival', 'role', 'person', 'hold', 'titl', 'notwithstand', 'lack', 'titl', 'titl', 'holder', 'person', 'control', 'holder', 'mean', 'section', 'secur', 'act', 'section', 'exchang', 'act', 'offic', 'director', 'member', 'sharehold', 'partner', 'agent', 'employe', 'person', 'function', 'equival', 'role', 'person', 'hold', 'titl', 'notwithstand', 'lack', 'titl', 'titl', 'control', 'person', 'fullest', 'extent', 'permit', 'applic', 'law', 'loss', 'claim', 'damag', 'liabil', 'cost', 'includ', 'limit', 'reason', 'attorneys’', 'fee', 'expens', 'collect', '“losses”', 'incur', 'aris', 'relat', 'untru', 'alleg', 'untru', 'statement', 'materi', 'fact', 'contain', 'registr', 'statement', 'prospectu', 'form', 'prospectu', 'amend', 'supplement', 'thereto', 'preliminari', 'prospectu', 'aris', 'relat', 'omiss', 'alleg', 'omiss', 'materi', 'fact', 'requir', 'state', 'necessari', 'statement', 'case', 'prospectu', 'form', 'prospectu', 'supplement', 'thereto', 'light', 'circumst', 'mislead', 'violat', 'alleg', 'violat', 'compani', 'secur', 'act', 'exchang', 'act', 'state', 'secur', 'law', 'rule', 'regul', 'thereund', 'connect', 'perform', 'oblig', 'agreement', 'extent', 'extent', 'untru', 'statement', 'omiss', 'base', 'sole', 'inform', 'holder', 'furnish', 'write', 'compani', 'holder', 'expressli', 'us', 'extent', 'inform', 'relat', 'holder', 'holder’', 'propos', 'method', 'distribut', 'registr', 'secur', 'review', 'expressli', 'approv', 'write', 'holder', 'expressli', 'us', 'registr', 'statement', 'prospectu', 'form', 'prospectu', 'amend', 'supplement', 'thereto', 'understood']"
indemnification,"['compani', 'agre', 'indemnifi', 'depositari', 'director', 'offic', 'employe', 'agent', 'affili', 'custodian', 'hold', 'harmless', 'liabil', 'expens', 'includ', 'limit', 'fee', 'expens', 'incur', 'seek', 'enforc', 'collect', 'indemn', 'reason', 'fee', 'expens', 'counsel', 'aris', 'connect', 'registr', 'commiss', 'american', 'depositari', 'share', 'deposit', 'secur', 'offer', 'sale', 'thereof', 'unit', 'state', 'act', 'perform', 'omit', 'pursuant', 'provis', 'connect', 'deposit', 'agreement', 'receipt', 'amend', 'modifi', 'supplement', 'time', 'time', 'depositari', 'custodian', 'respect', 'director', 'offic', 'employe', 'agent', 'affili', 'liabil', 'expens', 'aris', 'neglig', 'bad', 'faith', 'compani', 'director', 'offic', 'employe', 'agent', 'affili', 'depositari', 'agre', 'indemnifi', 'compani', 'director', 'offic', 'employe', 'agent', 'affili', 'hold', 'harmless', 'liabil', 'expens', 'includ', 'limit', 'fee', 'expens', 'counsel', 'aris', 'act', 'perform', 'omit', 'depositari', 'custodian', 'respect', 'director', 'offic', 'employe', 'agent', 'affili', 'neglig', 'bad', 'faith', 'action', 'proceed', 'includ', 'limit', 'government', 'investig', 'claim', 'disput', 'respect', 'indemn', 'sought', 'parti', 'brought', 'assert', 'parti', 'parti', 'seek', 'indemnif', 'indemnite', 'shall', 'promptli', 'notifi', 'parti', 'indemnitor', 'write', 'proceed', 'give', 'reason', 'detail', 'thereof', 'indemnitor', 'shall', 'entitl', 'particip', 'proceed', 'extent', 'conflict', 'exist', 'conduct', 'defens', 'assum', 'defens', 'thereof', 'counsel', 'reason', 'satisfactori', 'indemnite', 'notic', 'indemnitor', 'indemnite', 'elect', 'assum', 'defens', 'provid', 'conflict', 'exist', 'indemnitor', 'shall', 'liabl', 'indemnite', 'legal', 'expens', 'counsel', 'expens', 'case', 'subsequ', 'incur', 'indemnite', 'connect', 'defens', 'reason', 'cost', 'investig', 'compromis']"
indemnification,"['compani', 'agre', 'indemnif', 'agreement', 'set', 'forth', 'indemnif', 'agreement', 'attach', 'hereto', 'provis', 'incorpor', 'refer', 'shall', 'surviv', 'termin', 'expir', 'supersess', 'agreement']"
payment-of-expenses,"['bank', 'pai', 'expens', 'incid', 'perform', 'oblig', 'agreement', 'includ', 'print', 'file', 'registr', 'statement', 'origin', 'file', 'amend', 'thereto', 'indentur', 'truste', 'owner', 'truste', 'accept', 'fee', 'reason', 'fee', 'disburs', 'counsel', 'indentur', 'truste', 'counsel', 'owner', 'truste', 'iii', 'fee', 'disburs', 'pricewaterhousecoop', 'llp', 'fee', 'rate', 'agenc', 'blue', 'sky', 'expens', 'provid', 'underwrit', 'reimburs', 'bank', 'certain', 'expens', 'incur', 'bank', 'agre', 'underwrit', 'bank']"
indemnification,"['event', 'registr', 'registr', 'share', 'secur', 'act', 'pursuant', 'section', 'registr', 'qualif', 'registr', 'share', 'pursuant', 'section', 'hereof', 'corpor', 'shall', 'indemnifi', 'hold', 'harmless', 'seller', 'share', 'underwrit', 'share', 'broker', 'person', 'act', 'behalf', 'seller', 'person', 'control', 'forego', 'person', 'mean', 'secur', 'act', 'loss', 'claim', 'damag', 'liabil', 'joint', 'forego', 'person', 'subject', 'secur', 'act', 'insofar', 'loss', 'claim', 'damag', 'liabil', 'action', 'respect', 'thereof', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'materi', 'fact', 'contain', 'registr', 'statement', 'registr', 'share', 'regist', 'secur', 'act', 'preliminari', 'prospectu', 'final', 'prospectu', 'contain', 'amend', 'supplement', 'thereto', 'document', 'incid', 'registr', 'qualif', 'registr', 'share', 'pursuant', 'section', 'hereof', 'aris', 'base', 'omiss', 'alleg', 'omiss', 'state', 'materi', 'fact', 'requir', 'state', 'necessari', 'statement', 'mislead', 'respect', 'prospectu', 'necessari', 'statement', 'light', 'circumst', 'mislead', 'violat', 'corpor', 'secur', 'act', 'state', 'secur', 'blue', 'sky', 'law', 'applic', 'corpor', 'relat', 'action', 'inact', 'requir', 'corpor', 'connect', 'registr', 'qualif', 'secur', 'act', 'state', 'secur', 'blue', 'sky', 'law', 'corpor', 'shall', 'reimburs', 'demand', 'seller', 'underwrit', 'broker', 'person', 'act', 'behalf', 'seller', 'control', 'person', 'legal', 'expens', 'reason', 'incur', 'connect', 'investig', 'defend', 'loss', 'claim', 'damag', 'liabil', 'action', 'provid', 'corpor', 'shall', 'liabl', 'case', 'extent', 'loss', 'claim', 'damag', 'liabil', 'aris', 'base', 'untru', 'statement', 'alleg', 'untru', 'statement', 'omiss', 'alleg', 'omiss', 'said', 'registr', 'statement', 'preliminari', 'final', 'prospectu']"
